lnwage,educ,exper,tenure,isco,female,lfp,age,kids6,kids714,wt,mstat
3.7330403,9,9.041667,3.4166667,1,1,1,37,0,0,.5302977232924694,1
3.6008685,9,7.25,20.666666,1,0,1,62,0,0,1.060595446584939,2
3.1590359,10.5,2.5,.083333336,1,1,1,40,0,0,1.060595446584939,2
3.3932292,12,26.5,6.1666665,1,0,1,55,0,0,1.060595446584939,3
3.8056629,12,13.916667,1.3333334,1,0,1,36,1,1,1.060595446584939,2
3.2723646,10.5,9.25,0,1,0,1,31,0,0,1.060595446584939,2
3.5282979,10.5,29.416666,28.75,1,0,1,50,0,1,.5302977232924694,3
3.8056629,17.5,10.083333,6.25,1,0,1,42,1,0,2.121190893169878,3
3.824012,17.5,2.0416667,5.0833335,1,0,1,36,0,0,1.060595446584939,2
3.3821793,10.5,10.833333,8.583333,1,0,1,30,0,0,1.060595446584939,2
3.4757054,10.5,6.9166665,5.1666665,1,1,1,32,1,0,1.060595446584939,2
3.9132433,9,7.125,4.4166665,1,1,1,33,0,1,1.060595446584939,1
3.9009731,12,16.833334,.5,1,1,1,36,0,0,1.060595446584939,2
3.3413575,10.5,0,11.916667,1,1,1,53,0,0,.5302977232924694,1
3.824012,10.5,3.9166667,23.916666,1,0,1,47,0,0,1.060595446584939,2
3.6496587,17.5,2.8333333,1.8333334,1,1,1,38,0,0,1.060595446584939,1
3.824012,10.5,24.833334,11.75,1,0,1,41,0,0,.5302977232924694,1
3.6496587,12,15.166667,12.833333,1,0,1,53,0,0,1.060595446584939,2
2.8522086,9,0,2.75,1,1,1,25,0,0,.5302977232924694,1
4.0063338,12.5,20.5,19.5,1,0,1,44,0,0,1.060595446584939,2
3.6233413,12,11.083333,10.333333,1,0,1,40,0,0,1.060595446584939,2
3.6847501,17.5,7.75,1.0833334,1,1,1,47,0,0,.5302977232924694,1
3.4185469,10,35.416668,30.416666,1,0,1,58,0,0,1.590893169877408,2
4.6041708,12.5,7.1666665,17.416666,1,0,1,44,0,1,1.060595446584939,2
.89281839,10.5,0,0,1,1,1,20,0,0,2.121190893169878,1
3.7550192,12,30.166666,12.083333,1,0,1,45,0,0,1.060595446584939,2
4.0063338,10.5,18,1.6666666,1,0,1,47,0,0,.5302977232924694,1
3.3821793,12,9.916667,3.25,1,1,1,30,0,0,1.060595446584939,2
3.8033929,12,17.25,1.0833334,1,0,1,38,1,1,1.060595446584939,2
3.860826,12.5,12.583333,20.833334,1,0,1,55,0,0,1.060595446584939,3
3.68788,12,26.5,10.333333,1,0,1,43,0,2,1.060595446584939,2
3.4185469,15,6.5833335,3.9166667,1,0,1,31,2,0,1.060595446584939,2
4.101644,12.5,7,6.9166665,1,0,1,45,0,2,1.060595446584939,2
2.9932435,12,6.8333335,2.75,1,0,1,25,0,0,.5302977232924694,1
3.7594736,17.5,2.0833333,.25,1,1,1,31,1,0,1.060595446584939,2
3.6040635,10.5,7.6666665,12.416667,1,0,1,41,0,0,2.121190893169878,2
3.4608226,12.5,8.416667,0,1,0,1,28,0,0,1.060595446584939,1
3.3103254,10.5,18,4.5,1,0,1,36,0,0,.5302977232924694,3
3.5626473,12,6.4166665,7.6666665,1,0,1,33,1,2,1.060595446584939,2
3.4715044,11.5,9.416667,26.166666,1,0,1,56,0,0,1.590893169877408,2
4.3740587,12,6.25,1.6666666,1,0,1,37,2,1,1.060595446584939,2
3.7186515,12.5,11.416667,9.5,1,0,1,34,2,0,1.060595446584939,2
3.1461871,12,18.083334,11.5,1,0,1,39,0,4,1.060595446584939,2
3.566967,10.5,20.083334,3.0833333,1,0,1,40,0,0,.5302977232924694,3
3.8846369,10.5,12.166667,18,1,0,1,50,0,0,1.590893169877408,2
3.7159812,15,13.25,1.4166666,1,0,1,35,3,0,1.060595446584939,2
3.5755508,10.5,11.166667,2.3333333,1,0,1,36,2,0,1.060595446584939,2
3.4185469,10,1.5833334,8.166667,1,0,1,31,0,0,1.060595446584939,1
3.5755508,10.5,22.166666,10.916667,1,0,1,60,0,0,1.060595446584939,2
3.8503294,17.5,5.0833335,5.0833335,1,1,1,32,0,0,.5302977232924694,1
4.0063338,12,3.5,13.583333,1,0,1,46,0,1,1.590893169877408,2
3.3131864,12,4.5833335,9.25,1,0,1,33,0,0,.5302977232924694,1
3.9946377,10.5,2.3333333,33.916668,1,0,1,55,0,0,1.060595446584939,2
4.1604843,15,23.416666,5.8333335,1,0,1,51,0,0,1.060595446584939,2
4.1635194,10.5,24.083334,16,1,0,1,59,0,0,.5302977232924694,1
2.4575205,12,41.25,21.416666,1,0,1,61,0,0,1.590893169877408,2
3.3965681,10.5,10,10.833333,1,1,1,53,0,0,1.060595446584939,2
